Bus load analysis of WarzeniePiwa_impl_Instance


"Physical Bus","Capacity (KB/s)","Budget (KB/s)","Required Budget (KB/s)","Actual (KB/s)"
"Mag_bus","2000.0","500.0","48.0","12.8"
"Mag_bus","2000.0","500.0","300.0","19.999999999999996"
"Mag_bus","2000.0","500.0","228.0","18.999999999999996"
"Mag_bus","2000.0","500.0","264.0","22.0"
"Mag_bus","2000.0","500.0","168.0","16.6"
"Mag_bus","2000.0","500.0","180.0","18.4"
"Mag_bus","2000.0","500.0","168.0","18.4"
"Mag_bus","2000.0","500.0","264.0","22.0"

"Bus Mag_bus has data overhead of 0 bytes"
"Bound Virtual Bus/Connection","Capacity (KB/s)","Budget (KB/s)","Required Budget (KB/s)","Actual (KB/s)"
"klawiatura.KeyInput -> keyboard_cont_process.keyboard_control.PureInput","","12.0","","3.2"
"monitor_ctrl.control.DisplayData -> monitor.DisplayData","","12.0","","3.2"
"keyboard_cont_process.keyboard_control.KeyboardInput -> main_sys.main_thread.UserInput","","12.0","","3.2"
"main_sys.main_thread.DisplayData -> monitor_ctrl.control.SystemInput","","12.0","","3.2"

"Bus Mag_bus has data overhead of 0 bytes"
"Bound Virtual Bus/Connection","Capacity (KB/s)","Budget (KB/s)","Required Budget (KB/s)","Actual (KB/s)"
"mieszadlo_decision_center.OpenInputGate -> input_gate_c.Open","","0.0","","0.0"
"mieszadlo_decision_center.OpenOutputGate -> output_gate_c.Open","","0.0","","0.0"
"mieszadlo_decision_center.TurnMieszadloOn -> mieszadlo_control.On","","0.0","","0.0"
"czajnik_decision_center.OpenInputGate -> input_gate_c.Open","","0.0","","0.0"
"czajnik_decision_center.OpenOutputGate -> output_gate_c.Open","","0.0","","0.0"
"read_temp.read_data -> control.temp_data","","0.0","","0.4"
"control.decision_heater -> heater_ctrl.turn_on","","0.0","","0.0"
"start_button.Start -> button_control.button_control_thread.switch_on","","12.0","","0.0"
"klawiatura.KeyInput -> keyboard_cont_process.keyboard_control.PureInput","","12.0","","3.2"
"temp_sensor.Temp -> heater_control_proc.read_temp.sensor_data","","12.0","","0.4"
"timer.CurrTime -> timer_control_proc.timer_thread.ReadTime","","12.0","","2.0"
"keyboard_cont_process.keyboard_control.KeyboardInput -> input_processing_process.process_thread.UserInput","","12.0","","3.2"
"input_processing_process.process_thread.MieszadloTime -> mieszanie_proc.mieszadlo_decision_center.DesiredTime","","12.0","","0.2"
"input_processing_process.process_thread.CzajnikTime -> czajnik_proc.czajnik_decision_center.DesiredTime","","12.0","","0.2"
"input_processing_process.process_thread.CzajnikDesiredTemp -> heater_control_proc.control.desired_temp_data","","12.0","","0.4"
"input_processing_process.process_thread.DisplayData -> monitor_ctrl.control.SystemInput","","12.0","","3.2"
"mieszanie_proc.input_gate_c.OpenGate -> kadz.OpenInputGate","","12.0","","0.0"
"mieszanie_proc.output_gate_c.OpenGate -> kadz.OpenOutputGate","","12.0","","0.0"
"mieszanie_proc.mieszadlo_control.TurnOn -> mieszadlo.On","","12.0","","0.0"
"mieszanie_proc.mieszadlo_decision_center.Done -> czajnik_proc.czajnik_decision_center.Start","","12.0","","0.0"
"mieszanie_proc.mieszadlo_decision_center.Done -> heater_control_proc.control.start","","12.0","","0.0"
"czajnik_proc.input_gate_c.OpenGate -> czajnik.OpenInputGate","","12.0","","0.0"
"czajnik_proc.output_gate_c.OpenGate -> czajnik.OpenOutputGate","","12.0","","0.0"
"czajnik_proc.czajnik_decision_center.Done -> heater_control_proc.control.stop_thread","","12.0","","0.0"
"heater_control_proc.heater_ctrl.control_heater -> heater.On","","12.0","","0.0"
