Not Bound Resource Budget Analysis Report

Resource Summary: 
  MIPS capacity 57,000 MIPS : MIPS budget 54,870 MIPS
  8 out of 8 with MIPS capacity
*   192 out of 193 with MIPS budget



Detailed Processor MIPS Capacity Report 

Component,Capacity
processor cpu, 25,500 MIPS,
processor wstepna_obrobka_sys.cpu, 4,500 MIPS,
processor kadz_filtracyjna_sys.cpu, 4,500 MIPS,
processor warzenie_sys.cpu, 4,500 MIPS,
processor parowanie_sys.cpu, 4,500 MIPS,
processor wirowanie_sys.cpu, 4,500 MIPS,
processor fermentacja_sys.cpu, 4,500 MIPS,
processor butelkowanie_sys.cpu, 4,500 MIPS,
Total, 57,000 MIPS,


Detailed MIPS Budget Report 

Component,Budget,Actual,Notes
device monitor, 0,100 MIPS,0,000 MIPS,device WarzeniePiwa_impl_Instance.monitor total 0,000 MIPS below budget 0,100 MIPS (100,0 % slack)
device klawiatura, 0,100 MIPS,0,000 MIPS,device WarzeniePiwa_impl_Instance.klawiatura total 0,000 MIPS below budget 0,100 MIPS (100,0 % slack)
  thread monitor_ctrl.control,   0,800 MIPS,  2,550 MIPS,Error: subtotal/actual exceeds budget 0,800 by 1,750 MIPS
process monitor_ctrl, 2,600 MIPS,2,550 MIPS,process WarzeniePiwa_impl_Instance.monitor_ctrl total 2,550 MIPS below budget 2,600 MIPS (1,9 % slack)
  thread keyboard_cont_process.keyboard_control,   0,800 MIPS,  2,550 MIPS,Error: subtotal/actual exceeds budget 0,800 by 1,750 MIPS
process keyboard_cont_process, 2,600 MIPS,2,550 MIPS,process WarzeniePiwa_impl_Instance.keyboard_cont_process total 2,550 MIPS below budget 2,600 MIPS (1,9 % slack)
  thread main_sys.main_thread,   2,600 MIPS,  2,550 MIPS,thread WarzeniePiwa_impl_Instance.main_sys.main_thread total 2,550 MIPS below budget 2,600 MIPS (1,9 % slack)
process main_sys, 2,600 MIPS,2,550 MIPS,process WarzeniePiwa_impl_Instance.main_sys total 2,550 MIPS below budget 2,600 MIPS (1,9 % slack)
  device wstepna_obrobka_sys.start_button,   0,100 MIPS,  0,000 MIPS,device WarzeniePiwa_impl_Instance.wstepna_obrobka_sys.start_button total 0,000 MIPS below budget 0,100 MIPS (100,0 % slack)
  device wstepna_obrobka_sys.klawiatura,   0,100 MIPS,  0,000 MIPS,device WarzeniePiwa_impl_Instance.wstepna_obrobka_sys.klawiatura total 0,000 MIPS below budget 0,100 MIPS (100,0 % slack)
